vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Maruti Suzuki Brezza,OTHER,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,7,2,3
Toyota Fortuner,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",9,7,8
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,CENTER TURN LANE,OTHER,SHOULDER DEFECT,13,4,1
Skoda Slavia,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,3,11
Hyundai i20,LANE USE MARKING,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,10,4,12
Tata Punch,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",UNKNOWN,21,5,4
Honda Amaze,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",FOUR WAY,OTHER,WORN SURFACE,5,6,7
Kia Sonet,YIELD,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,13,3,1
Renault Kiger,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,7,8
Kia Sonet,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",UNKNOWN,12,4,7
Mahindra Thar,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",UNKNOWN,"SAND, MUD, DIRT",NO DEFECTS,19,6,5
Toyota Innova,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,19,1,4
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,RAMP,UNKNOWN,NO DEFECTS,17,6,8
Kia Seltos,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,16,5,7
Maruti Suzuki Baleno,OTHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,22,5,3
Tata Harrier,NO CONTROLS,RAIN,UNKNOWN,NOT DIVIDED,WET,NO DEFECTS,12,3,9
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,WET,NO DEFECTS,19,5,8
Mahindra Scorpio,STOP SIGN/FLASHER,CLEAR,DAWN,FOUR WAY,DRY,"RUT, HOLES",21,7,11
Toyota Innova,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT","RUT, HOLES",14,3,2
Honda Amaze,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,18,1,10
Hyundai i20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,12,6,9
Mahindra XUV700,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,4,2
Tata Harrier,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,16,4,9
Toyota Fortuner,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,8,6,7
Honda City,LANE USE MARKING,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,8,5,12
Mahindra Scorpio,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,20,5,2
Hyundai Venue,NO CONTROLS,UNKNOWN,DARKNESS,T-INTERSECTION,DRY,"RUT, HOLES",4,7,8
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,OTHER,NO DEFECTS,1,1,6
Honda Amaze,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,16,3,12
Renault Kiger,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,10,7,6
Honda City,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",12,6,12
Renault Kiger,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,12,2,11
Renault Kiger,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,OTHER,"RUT, HOLES",4,2,5
Honda City,LANE USE MARKING,CLOUDY/OVERCAST,DAWN,ONE-WAY,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,0,6,10
Tata Nexon,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,5,12
Toyota Fortuner,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TRAFFIC ROUTE,DRY,WORN SURFACE,8,7,5
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,7,7
Mahindra XUV700,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,22,1,7
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,UNKNOWN,NOT DIVIDED,DRY,NO DEFECTS,19,7,5
Hyundai i20,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",5,6,1
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,14,6,4
Tata Punch,TRAFFIC SIGNAL,CLEAR,DUSK,FOUR WAY,DRY,WORN SURFACE,18,5,5
Toyota Fortuner,UNKNOWN,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,17,3,7
Mahindra Thar,NO CONTROLS,CLEAR,DAWN,FOUR WAY,DRY,"RUT, HOLES",18,5,3
Kia Seltos,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,13,4,11
Hyundai Verna,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,7,9
Skoda Slavia,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,5,1
Mahindra Thar,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,OTHER,NO DEFECTS,16,1,8
Kia Sonet,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,16,6,8
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DARKNESS,T-INTERSECTION,WET,WORN SURFACE,3,1,12
Mahindra Scorpio,NO CONTROLS,UNKNOWN,DARKNESS,CENTER TURN LANE,WET,NO DEFECTS,3,7,1
Tata Altroz,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,22,4,4
Kia Seltos,OTHER,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,7,7,12
Maruti Suzuki Brezza,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,1,12
Volkswagen Virtus,OTHER REG. SIGN,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,DRY,NO DEFECTS,18,5,9
Volkswagen Virtus,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",12,2,9
Skoda Slavia,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,7,5,1
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DUSK,DIVIDED - W/MEDIAN BARRIER,WET,NO DEFECTS,14,4,7
Skoda Slavia,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",15,5,4
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",OTHER,DRY,NO DEFECTS,13,3,3
Hyundai Venue,OTHER,CLEAR,DARKNESS,FOUR WAY,DRY,SHOULDER DEFECT,21,1,10
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,Y-INTERSECTION,DRY,"RUT, HOLES",9,1,2
Kia Sonet,NO CONTROLS,RAIN,DAYLIGHT,UNKNOWN INTERSECTION TYPE,WET,WORN SURFACE,17,7,7
Hyundai Verna,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,6,6,12
Mahindra Thar,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,"SAND, MUD, DIRT",NO DEFECTS,12,6,3
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,UNKNOWN,NO DEFECTS,18,1,12
Volkswagen Virtus,STOP SIGN/FLASHER,RAIN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,8,1,12
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,11,1,8
Tata Harrier,YIELD,RAIN,DAYLIGHT,UNKNOWN,"SAND, MUD, DIRT",NO DEFECTS,7,5,3
Toyota Innova,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",ALLEY,WET,"RUT, HOLES",5,4,6
Skoda Slavia,OTHER,OTHER,DAYLIGHT,ALLEY,DRY,"RUT, HOLES",15,1,7
Skoda Slavia,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,3,6
Nissan Magnite,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,5,5,5
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,21,6,12
Hyundai Creta,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",Y-INTERSECTION,OTHER,NO DEFECTS,8,6,2
Hyundai Creta,NO CONTROLS,CLEAR,DAWN,OTHER,DRY,"RUT, HOLES",6,5,9
Toyota Fortuner,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,DRY,WORN SURFACE,6,1,1
Maruti Suzuki Wagon R,PEDESTRIAN CROSSING SIGN,RAIN,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,7,5,8
Honda City,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,5,1,12
Renault Kiger,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,OTHER,NO DEFECTS,19,5,5
Tata Altroz,LANE USE MARKING,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",14,3,3
Kia Seltos,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,12,3,8
Skoda Slavia,TRAFFIC SIGNAL,OTHER,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,22,4,9
Nissan Magnite,TRAFFIC SIGNAL,RAIN,DAWN,NOT DIVIDED,WET,WORN SURFACE,11,3,9
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,"FIVE POINT, OR MORE",DRY,OTHER,7,6,6
Hyundai i20,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,WORN SURFACE,9,2,5
Maruti Suzuki Wagon R,NO CONTROLS,UNKNOWN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,8,2,12
Tata Nexon,UNKNOWN,FOG/SMOKE/HAZE,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,NO DEFECTS,9,6,12
Hyundai Verna,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",10,2,7
Kia Sonet,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,14,1,11
Kia Sonet,STOP SIGN/FLASHER,CLEAR,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,17,3,7
Maruti Suzuki Brezza,OTHER,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,DRY,WORN SURFACE,18,6,7
Tata Harrier,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ONE-WAY,WET,"RUT, HOLES",17,4,3
Mahindra Thar,TRAFFIC SIGNAL,RAIN,DAYLIGHT,CENTER TURN LANE,DRY,WORN SURFACE,8,4,7
Kia Seltos,NO CONTROLS,RAIN,DAWN,DIVIDED - W/MEDIAN BARRIER,WET,"RUT, HOLES",6,1,7
Maruti Suzuki Wagon R,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",15,6,1
Nissan Magnite,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,8,3,7
Nissan Magnite,NO CONTROLS,CLEAR,DUSK,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,4,6,10
Kia Seltos,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,15,4,9
Tata Altroz,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,10,5,8
Renault Kiger,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,18,5,11
Mahindra Scorpio,NO CONTROLS,SNOW,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),SNOW OR SLUSH,"RUT, HOLES",10,2,1
Tata Harrier,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,T-INTERSECTION,DRY,UNKNOWN,23,3,8
Toyota Fortuner,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,L-INTERSECTION,DRY,"RUT, HOLES",18,5,10
Skoda Slavia,NO CONTROLS,RAIN,DAWN,FOUR WAY,UNKNOWN,NO DEFECTS,2,6,8
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,SHOULDER DEFECT,14,7,6
Mahindra XUV700,NO CONTROLS,CLEAR,DAYLIGHT,TRAFFIC ROUTE,DRY,NO DEFECTS,15,5,2
Nissan Magnite,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,17,1,11
Honda Amaze,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",14,7,7
Kia Sonet,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,4,11
Mahindra Scorpio,OTHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,11,1,8
Tata Altroz,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,7,9
Volkswagen Virtus,NO CONTROLS,FREEZING RAIN/DRIZZLE,"DARKNESS, LIGHTED ROAD",UNKNOWN INTERSECTION TYPE,OTHER,"RUT, HOLES",22,3,10
Hyundai Creta,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,10,5,8
Hyundai Creta,TRAFFIC SIGNAL,OTHER,DARKNESS,NOT DIVIDED,UNKNOWN,WORN SURFACE,3,2,6
Renault Kiger,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,7,6,7
Kia Sonet,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,NO DEFECTS,20,7,10
Toyota Innova,NO CONTROLS,SLEET/HAIL,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,16,7,6
Hyundai Venue,PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",18,1,6
Maruti Suzuki Brezza,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,19,6,1
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,ONE-WAY,DRY,"RUT, HOLES",18,5,12
Tata Punch,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,15,6,1
Renault Kiger,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,7,3,8
Hyundai Venue,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,WET,"RUT, HOLES",7,4,6
Nissan Magnite,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,15,3,6
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,WET,SHOULDER DEFECT,11,6,9
Maruti Suzuki Brezza,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",9,6,1
Hyundai Creta,NO CONTROLS,OTHER,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,WORN SURFACE,14,2,8
Tata Nexon,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,NO DEFECTS,16,5,10
Hyundai Verna,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,"RUT, HOLES",1,1,10
Tata Nexon,UNKNOWN,CLEAR,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,1,1,3
Honda City,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,17,5,11
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,UNKNOWN,FOUR WAY,WET,NO DEFECTS,8,7,8
Mahindra XUV700,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,NO DEFECTS,17,7,11
Maruti Suzuki Baleno,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,5,7
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DARKNESS,FOUR WAY,WET,"RUT, HOLES",23,6,8
Maruti Suzuki Wagon R,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,DRY,NO DEFECTS,19,4,12
Mahindra XUV700,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ALLEY,WET,WORN SURFACE,12,7,11
Kia Seltos,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",16,6,7
Tata Harrier,NO CONTROLS,CLEAR,DAWN,NOT DIVIDED,WET,NO DEFECTS,6,3,5
Maruti Suzuki Brezza,STOP SIGN/FLASHER,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,DEBRIS ON ROADWAY,12,5,6
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,ALLEY,DRY,NO DEFECTS,17,1,6
Tata Altroz,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",16,2,5
Mahindra Scorpio,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,14,7,5
Nissan Magnite,NO CONTROLS,RAIN,DAWN,Y-INTERSECTION,WET,DEBRIS ON ROADWAY,7,1,11
Maruti Suzuki Swift,OTHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,18,2,1
Maruti Suzuki Swift,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,9,2,9
Maruti Suzuki Baleno,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,NO DEFECTS,19,6,3
Mahindra Thar,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,16,1,6
Hyundai i20,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,UNKNOWN,DRY,NO DEFECTS,7,1,1
Renault Kiger,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,1,7,5
Kia Seltos,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,DEBRIS ON ROADWAY,8,7,9
Kia Sonet,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",20,3,11
Tata Harrier,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,18,1,4
Honda Amaze,STOP SIGN/FLASHER,OTHER,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,6,7
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,14,7,7
Maruti Suzuki Swift,OTHER WARNING SIGN,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,16,7,11
Mahindra Scorpio,YIELD,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,14,2,9
Tata Harrier,NO CONTROLS,UNKNOWN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",SHOULDER DEFECT,16,5,7
Maruti Suzuki Swift,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",10,4,9
Volkswagen Virtus,STOP SIGN/FLASHER,UNKNOWN,DARKNESS,ONE-WAY,WET,WORN SURFACE,19,2,11
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,WORN SURFACE,16,6,1
Maruti Suzuki Wagon R,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",10,6,6
Mahindra Scorpio,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,19,7,11
Nissan Magnite,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,14,1,9
Skoda Slavia,STOP SIGN/FLASHER,RAIN,DAYLIGHT,OTHER,DRY,NO DEFECTS,7,2,8
Kia Sonet,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,4,6,7
Hyundai i20,LANE USE MARKING,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",17,4,6
Maruti Suzuki Brezza,TRAFFIC SIGNAL,RAIN,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,DEBRIS ON ROADWAY,20,4,7
Mahindra XUV700,PEDESTRIAN CROSSING SIGN,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,19,5,8
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,RAMP,DRY,NO DEFECTS,17,4,7
Hyundai i20,STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,6,1,9
Hyundai i20,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",OTHER,5,5,11
Mahindra Scorpio,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,11,2,3
Hyundai Creta,NO CONTROLS,RAIN,DARKNESS,T-INTERSECTION,WET,NO DEFECTS,20,7,7
Renault Kiger,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,WET,NO DEFECTS,22,6,6
Maruti Suzuki Wagon R,FLASHING CONTROL SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,8,7,9
Mahindra Thar,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,NO DEFECTS,18,7,4
Kia Seltos,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",15,1,8
Kia Seltos,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,1,2,11
Nissan Magnite,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,T-INTERSECTION,DRY,"RUT, HOLES",15,6,7
Skoda Slavia,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,OTHER,18,7,11
Hyundai i20,RAILROAD CROSSING GATE,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,"RUT, HOLES",9,1,12
Nissan Magnite,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,20,7,2
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAWN,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",8,4,4
Mahindra XUV700,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,5,4,12
Kia Sonet,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DUSK,ONE-WAY,"SAND, MUD, DIRT",NO DEFECTS,6,7,12
Toyota Innova,NO CONTROLS,CLEAR,DARKNESS,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,19,3,2
Maruti Suzuki Swift,YIELD,CLEAR,DUSK,PARKING LOT,UNKNOWN,WORN SURFACE,12,5,1
Honda Amaze,TRAFFIC SIGNAL,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,NO DEFECTS,19,3,3
Tata Nexon,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,WORN SURFACE,15,1,12
Kia Seltos,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,14,3,3
Renault Kiger,NO CONTROLS,CLEAR,DARKNESS,FOUR WAY,OTHER,WORN SURFACE,19,2,7
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",13,5,11
